is_stress,Area,Cutoff,Participant,AoA,avg_dur,Language,Dominance,Dom
1,4.01751403,0.1,p111,L2,0.121433306,English,127.138,L2
0,3.348618722,0.1,p111,L2,0.121433306,English,127.138,L2
1,3.508462305,0.15,p111,L2,0.121433306,English,127.138,L2
0,2.990105515,0.15,p111,L2,0.121433306,English,127.138,L2
1,3.429103214,0.2,p111,L2,0.121433306,English,127.138,L2
0,2.464699786,0.2,p111,L2,0.121433306,English,127.138,L2
1,3.076346921,0.25,p111,L2,0.121433306,English,127.138,L2
0,2.178923553,0.25,p111,L2,0.121433306,English,127.138,L2
1,2.832534676,0.3,p111,L2,0.121433306,English,127.138,L2
0,2.108241618,0.3,p111,L2,0.121433306,English,127.138,L2
1,4.469077171,0.1,p113,biling,0.148272109,English,-1.816,Balanced
0,3.142996768,0.1,p113,biling,0.148272109,English,-1.816,Balanced
1,4.267160613,0.15,p113,biling,0.148272109,English,-1.816,Balanced
0,2.967479718,0.15,p113,biling,0.148272109,English,-1.816,Balanced
1,4.05754905,0.2,p113,biling,0.148272109,English,-1.816,Balanced
0,2.805472115,0.2,p113,biling,0.148272109,English,-1.816,Balanced
1,3.757273061,0.25,p113,biling,0.148272109,English,-1.816,Balanced
0,2.739736751,0.25,p113,biling,0.148272109,English,-1.816,Balanced
1,3.683680431,0.3,p113,biling,0.148272109,English,-1.816,Balanced
0,2.668866682,0.3,p113,biling,0.148272109,English,-1.816,Balanced
1,3.788811301,0.1,p114,biling,0.176164757,English,49.224,Balanced
0,3.385642106,0.1,p114,biling,0.176164757,English,49.224,Balanced
1,3.604616887,0.15,p114,biling,0.176164757,English,49.224,Balanced
0,2.597636707,0.15,p114,biling,0.176164757,English,49.224,Balanced
1,3.421649391,0.2,p114,biling,0.176164757,English,49.224,Balanced
0,2.140318913,0.2,p114,biling,0.176164757,English,49.224,Balanced
1,3.337355006,0.25,p114,biling,0.176164757,English,49.224,Balanced
0,2.120174372,0.25,p114,biling,0.176164757,English,49.224,Balanced
1,3.147090783,0.3,p114,biling,0.176164757,English,49.224,Balanced
0,2.037877598,0.3,p114,biling,0.176164757,English,49.224,Balanced
1,4.476948571,0.1,p117,L2,0.130143946,English,97.352,L2
0,3.796066671,0.1,p117,L2,0.130143946,English,97.352,L2
1,4.095700579,0.15,p117,L2,0.130143946,English,97.352,L2
0,3.560021501,0.15,p117,L2,0.130143946,English,97.352,L2
1,3.68374457,0.2,p117,L2,0.130143946,English,97.352,L2
0,3.503483748,0.2,p117,L2,0.130143946,English,97.352,L2
1,3.060057316,0.25,p117,L2,0.130143946,English,97.352,L2
0,3.459464576,0.25,p117,L2,0.130143946,English,97.352,L2
1,2.950406831,0.3,p117,L2,0.130143946,English,97.352,L2
0,3.437782752,0.3,p117,L2,0.130143946,English,97.352,L2
1,3.790599203,0.1,p118,biling,0.133980868,English,37.87,Balanced
0,3.574529496,0.1,p118,biling,0.133980868,English,37.87,Balanced
1,3.689503198,0.15,p118,biling,0.133980868,English,37.87,Balanced
0,2.960572119,0.15,p118,biling,0.133980868,English,37.87,Balanced
1,3.619532133,0.2,p118,biling,0.133980868,English,37.87,Balanced
0,2.684669896,0.2,p118,biling,0.133980868,English,37.87,Balanced
1,3.570705075,0.25,p118,biling,0.133980868,English,37.87,Balanced
0,2.240494517,0.25,p118,biling,0.133980868,English,37.87,Balanced
1,3.453085487,0.3,p118,biling,0.133980868,English,37.87,Balanced
0,1.808651962,0.3,p118,biling,0.133980868,English,37.87,Balanced
1,4.796958751,0.1,p120,biling,0.140265683,English,74.292,L2
0,4.121827137,0.1,p120,biling,0.140265683,English,74.292,L2
1,4.675090377,0.15,p120,biling,0.140265683,English,74.292,L2
0,3.292123632,0.15,p120,biling,0.140265683,English,74.292,L2
1,4.308609896,0.2,p120,biling,0.140265683,English,74.292,L2
0,2.599839059,0.2,p120,biling,0.140265683,English,74.292,L2
1,4.264994012,0.25,p120,biling,0.140265683,English,74.292,L2
0,1.999928115,0.25,p120,biling,0.140265683,English,74.292,L2
1,4.223648866,0.3,p120,biling,0.140265683,English,74.292,L2
0,1.447208038,0.3,p120,biling,0.140265683,English,74.292,L2
1,4.376562874,0.1,p121,L2,0.157690161,English,131.406,L2
0,3.382139463,0.1,p121,L2,0.157690161,English,131.406,L2
1,3.706754638,0.15,p121,L2,0.157690161,English,131.406,L2
0,3.315864671,0.15,p121,L2,0.157690161,English,131.406,L2
1,3.500910291,0.2,p121,L2,0.157690161,English,131.406,L2
0,3.113499396,0.2,p121,L2,0.157690161,English,131.406,L2
1,3.437651771,0.25,p121,L2,0.157690161,English,131.406,L2
0,3.032356591,0.25,p121,L2,0.157690161,English,131.406,L2
1,2.971534452,0.3,p121,L2,0.157690161,English,131.406,L2
0,2.891676827,0.3,p121,L2,0.157690161,English,131.406,L2
1,4.152294045,0.1,p122,biling,0.139943101,English,48.124,Balanced
0,3.593342571,0.1,p122,biling,0.139943101,English,48.124,Balanced
1,3.995861548,0.15,p122,biling,0.139943101,English,48.124,Balanced
0,3.261058043,0.15,p122,biling,0.139943101,English,48.124,Balanced
1,3.90008408,0.2,p122,biling,0.139943101,English,48.124,Balanced
0,3.146726542,0.2,p122,biling,0.139943101,English,48.124,Balanced
1,3.646371535,0.25,p122,biling,0.139943101,English,48.124,Balanced
0,2.684583654,0.25,p122,biling,0.139943101,English,48.124,Balanced
1,2.242782735,0.3,p122,biling,0.139943101,English,48.124,Balanced
0,2.216530514,0.3,p122,biling,0.139943101,English,48.124,Balanced
1,4.115226399,0.1,p123,L2,0.131732169,English,72.288,L2
0,3.295666971,0.1,p123,L2,0.131732169,English,72.288,L2
1,3.463852413,0.15,p123,L2,0.131732169,English,72.288,L2
0,2.954192896,0.15,p123,L2,0.131732169,English,72.288,L2
1,3.394738433,0.2,p123,L2,0.131732169,English,72.288,L2
0,2.862347885,0.2,p123,L2,0.131732169,English,72.288,L2
1,3.304366073,0.25,p123,L2,0.131732169,English,72.288,L2
0,2.732425177,0.25,p123,L2,0.131732169,English,72.288,L2
1,3.106921056,0.3,p123,L2,0.131732169,English,72.288,L2
0,2.67167577,0.3,p123,L2,0.131732169,English,72.288,L2
1,4.693386992,0.1,p124,biling,0.115025862,English,113.332,L2
0,4.369761604,0.1,p124,biling,0.115025862,English,113.332,L2
1,4.52867946,0.15,p124,biling,0.115025862,English,113.332,L2
0,4.106796892,0.15,p124,biling,0.115025862,English,113.332,L2
1,4.272974404,0.2,p124,biling,0.115025862,English,113.332,L2
0,3.286463899,0.2,p124,biling,0.115025862,English,113.332,L2
