Participant,Language,Cutoff,Dom,avg_dur,Area_ratio
p111,English,0.1,L2,0.1214333057166523,0.8335051717530801
p111,English,0.15,L2,0.1214333057166523,0.8522552773615188
p111,English,0.2,L2,0.1214333057166523,0.718759288220318
p111,English,0.25,L2,0.1214333057166523,0.7082827813244073
p111,English,0.3,L2,0.1214333057166523,0.7442950780798379
p111,Spanish,0.1,L2,0.1204702552388064,1.0716752330335975
p111,Spanish,0.15,L2,0.1204702552388064,0.9970171052359437
p111,Spanish,0.2,L2,0.1204702552388064,1.0125825489121385
p111,Spanish,0.25,L2,0.1204702552388064,1.062845640584748
p111,Spanish,0.3,L2,0.1204702552388064,1.081655845860751
p113,English,0.1,biling,0.1482721088435405,0.7032764589859734
p113,English,0.15,biling,0.1482721088435405,0.6954225507222098
p113,English,0.2,biling,0.1482721088435405,0.6914203822288939
p113,English,0.25,biling,0.1482721088435405,0.7291822305229964
p113,English,0.3,biling,0.1482721088435405,0.7245109154222834
p113,Spanish,0.1,biling,0.1365849266254688,0.843383630113463
p113,Spanish,0.15,biling,0.1365849266254688,0.8311934486090352
p113,Spanish,0.2,biling,0.1365849266254688,0.8225467976771589
p113,Spanish,0.25,biling,0.1365849266254688,0.8004940556446323
p113,Spanish,0.3,biling,0.1365849266254688,0.788893760833197
p114,English,0.1,biling,0.1761647572285868,0.8935895290916777
p114,English,0.15,biling,0.1761647572285868,0.7206415518614039
p114,English,0.2,biling,0.1761647572285868,0.6255225678907954
p114,English,0.25,biling,0.1761647572285868,0.6352858379683148
p114,English,0.3,biling,0.1761647572285868,0.6475433147448449
p114,Spanish,0.1,biling,0.1585710314151056,1.0483896640877755
p114,Spanish,0.15,biling,0.1585710314151056,1.02243306808041
p114,Spanish,0.2,biling,0.1585710314151056,1.0153922455210618
p114,Spanish,0.25,biling,0.1585710314151056,0.8872469005534172
p114,Spanish,0.3,biling,0.1585710314151056,0.8576407005706668
p117,English,0.1,L2,0.1301439458086399,0.8479138439120755
p117,English,0.15,L2,0.1301439458086399,0.8692094141066284
p117,English,0.2,L2,0.1301439458086399,0.9510658736093068
p117,English,0.25,L2,0.1301439458086399,1.130522803660709
p117,English,0.3,L2,0.1301439458086399,1.1651893955021055
p117,Spanish,0.1,L2,0.1106049770475788,1.2018202625701988
