Filename	Segment label	F1.50	F2.50	F3.50	F1.25	F2.25	F3.25	F1.75	F2.75	F3.75
s00101	e	355.2633477885047	2082.6287277489873	2606.7122225295493	432.2855807947169	2111.016626172527	2564.7035332058354	327.22694999240707	1921.1373374597447	2745.610286846611
s00101	n	264.26283791989255	1352.960148040204	2493.050542796756	256.35403799952866	1351.2672023829266	2497.6198015702744	277.3963325271278	1513.0240015190643	2515.159279522293
s00101	e	408.2120379191299	1773.8873587391736	2705.2028782344655	345.6710062207199	1783.636308558772	2586.463559233574	422.0806104713125	1734.7389659592388	2716.0998083458703
s00101	l	297.3418407194621	1793.8137717606335	2414.063185907122	303.8681945988882	2068.7748774752845	2693.6862198043245	297.0997307147349	1994.629593841888	2278.6034707710114
s00101	k	1724.5663340780563	2133.3977605820296	3206.997014599973	453.95221757590934	1868.9915807418786	2532.047138366204	1257.87458143167	1749.567600959356	2656.2880070602605
s00101	a	567.805844146414	1609.5634291283343	2300.234001039823	537.7398170977559	1646.582767183439	2298.5736841296684	548.8604672968124	1617.8696098425387	2317.055803180111
s00101	s	572.1193342136008	1581.8314980370715	3150.1063895284174	606.6661055459996	1666.217949123322	3212.853976601799	583.297766607901	1532.48748403485	3096.3651890090355
s00101	o	441.15699014798764	1309.818513491425	2731.861047472247	462.5910086877463	1379.588981166032	2596.3692441823046	421.6213165905778	1286.443028341203	2678.1769630001318
s00101	e	427.91260849393274	1426.8419535727073	2521.406610375156	427.16767159320744	1379.0278749645977	2596.0809645827794	409.8887952469805	1560.235048919124	2422.374443917262
s00101	l	325.4503556819903	1449.2886357410653	2591.9928439444566	392.7158045844384	1389.6391972523652	2637.296333253844	331.41818024958104	1598.4140799243698	2686.8077678331338
s00101	a	493.4926295687877	1563.787386118497	2396.885446321509	495.75224687189774	1589.653470750832	2561.522543421286	457.95243689350144	1627.7345567649486	2386.290715149414
s00101	s	448.1005519133898	1838.3658675606478	3152.2039368130986	490.25968914772125	1895.7278821227649	3216.490196223827	1109.4659519409026	2389.102344261816	3219.8979026335383
s00101	k	417.24535217478683	1806.835281907168	3010.910831788191	314.2240484233222	1615.231021901282	2655.5472972487582	961.6852238657716	1388.753195090394	3236.065228843513
s00101	o	466.5739260663508	1132.3697354377762	2316.999789614019	419.19627320094463	1094.7765851758606	2436.4001978404112	467.01530650386934	1287.3928217252205	2541.0544879459612
s00101	l	318.9547326239948	1318.9157815102865	2249.465203579082	322.32305394251506	1723.9743713598466	2251.119809854043	290.0558756615625	1309.762940813794	2255.077492838336
s00101	o	341.1580624624509	1201.0823316563842	2309.9259214211547	412.63034485608813	1121.1252399500165	2205.134394179941	339.3668800668314	1308.5208912705298	2374.2162435930463
s00101	x	1586.8575775143095	2579.203268293919	3358.631141100445	390.26968146606544	1843.6035731370937	2756.6972099835384	1459.4023112319285	2685.0904504070973	3322.0000794691823
s00101	i	301.02437798204437	2230.550122198347	2982.288734053258	284.5885323638618	2198.838261050935	2866.377562283824	302.2180670258547	2068.5196515309517	2778.0085156400905
s00101	a	603.916019143842	1659.2164315245689	2785.1212464548544	328.95095504722144	1774.5660475667794	2510.9824883782358	517.6964938942899	1644.525685998551	2623.380619074888
s00101	.sil	1215.086645156825	1622.4414116227435	2968.184907745859	1072.0685183686053	1636.913910667337	3087.2149150791065	--undefined--	--undefined--	--undefined--
s00102	d	1519.6351983194431	2733.5717893220303	3822.270201657566	1017.9659317208439	2172.612641110514	3181.926329211393	202.97947451662935	1546.200175761908	2673.7642438390217
s00102	e	452.4704096557735	1730.7935574612352	2616.5861881918004	426.1594094239752	1670.7876745388921	2617.0869211663135	451.5313404803256	1747.4376596501847	2566.202915766642
s00102	l	295.4476837128791	1598.9505519403706	2881.3256001941218	318.9327814851923	1662.3140165854	2703.4355580456017	313.13715631179497	1731.2898307846435	2887.8473866825943
s00102	a	510.15847089667164	1773.3311259084023	2387.4795753738485	494.84607883079883	1616.9216489347546	2370.7366299633586	412.4451777914824	1752.0384189270312	2412.648392839913
s00102	s	327.4602161836274	2005.9769813113003	3233.3485810988195	381.23098780135683	1901.8348742179835	3333.5292513625595	366.60767218562256	2076.239518711888	3110.3674521453195
s00102	u	298.7789402299664	1711.501132407059	2533.5793702716064	275.97756090841995	1731.8992415951282	2623.697464398565	319.8941936845786	1649.0970266206716	2429.171041228239
s00102	a	526.785553196553	1659.5823380200559	2632.9944986660084	437.00350762470356	1577.8586193106848	2499.944620670874	528.6515355715035	1459.2683484861168	2447.035798734262
s00102	d	380.5366196328733	1562.4980939639963	2529.8106481648138	390.8230745366422	1479.5189681370323	2430.5677666627957	385.9201816797523	1566.9404270348205	2734.8402912029787
s00102	e	478.5973165954284	1695.4433630218525	2713.8882374247896	437.16445035318515	1634.3055852536065	2734.319473509498	474.408974065627	1668.388422212556	2789.7479378586613
s00102	m	288.63445989325055	1446.2023003419922	2051.495036141196	310.50822228264707	1526.124611479941	2229.567258373282	290.33581169253193	1330.2766215862032	2058.6000712414566
s00102	e	440.40233474341284	2024.333017989404	2346.022032188546	425.4533849121027	1737.2869943978237	2363.065280416733	448.37336166600494	1877.8829332104308	2145.103743023453
s00102	x	246.8523569603857	2187.7127312219627	2506.0877478283996	300.89984242100724	2107.393657493818	2370.1181183226686	230.0587637081277	2081.714515832893	2751.827320453888
s00102	i	303.71206400338616	2179.388110516455	2596.093374714894	319.68149465578153	2156.3855045299943	2770.714049663655	243.49410137580517	1975.3136433788775	2345.9348938873563
