is_stress,Area,Cutoff,Participant,Dom,avg_dur
1,3.3026809703024367,0.1,p111,L2,0.12047025523880643
0,3.5394013984844914,0.1,p111,L2,0.12047025523880643
1,3.0325041482489112,0.15,p111,L2,0.12047025523880643
0,3.0234585075031206,0.15,p111,L2,0.12047025523880643
1,2.8167481848160705,0.2,p111,L2,0.12047025523880643
0,2.8521900566246963,0.2,p111,L2,0.12047025523880643
1,2.5524433175361674,0.25,p111,L2,0.12047025523880643
0,2.7128532528829874,0.25,p111,L2,0.12047025523880643
1,2.3944277317889227,0.3,p111,L2,0.12047025523880643
0,2.5899467535805867,0.3,p111,L2,0.12047025523880643
1,3.322740235951435,0.1,p113,biling,0.13658492662546887
0,2.8023447221207856,0.1,p113,biling,0.13658492662546887
1,2.8756128511111037,0.15,p113,biling,0.13658492662546887
0,2.3901905625794986,0.15,p113,biling,0.13658492662546887
1,2.7063076991891384,0.2,p113,biling,0.13658492662546887
0,2.2260647314970656,0.2,p113,biling,0.13658492662546887
1,2.6301294587911466,0.25,p113,biling,0.13658492662546887
0,2.1054029973381465,0.25,p113,biling,0.13658492662546887
1,2.5352913717728365,0.3,p113,biling,0.13658492662546887
0,2.000075545085828,0.3,p113,biling,0.13658492662546887
1,3.12756858627885,0.1,p114,biling,0.1585710314151056
0,3.2789105795803626,0.1,p114,biling,0.1585710314151056
1,2.976108583900358,0.15,p114,biling,0.1585710314151056
0,3.042871830377687,0.15,p114,biling,0.1585710314151056
1,2.843556512105099,0.2,p114,biling,0.1585710314151056
0,2.8873252320924347,0.2,p114,biling,0.1585710314151056
1,2.666707564899484,0.25,p114,biling,0.1585710314151056
0,2.3660280216394174,0.25,p114,biling,0.1585710314151056
1,2.557575324586294,0.3,p114,biling,0.1585710314151056
0,2.19348069314044,0.3,p114,biling,0.1585710314151056
1,3.381090485097149,0.1,p117,L2,0.11060497704757886
0,4.063463054573057,0.1,p117,L2,0.11060497704757886
1,3.2380704477911326,0.15,p117,L2,0.11060497704757886
0,3.5650782248338313,0.15,p117,L2,0.11060497704757886
1,3.02803239324079,0.2,p117,L2,0.11060497704757886
0,3.2590714837924533,0.2,p117,L2,0.11060497704757886
1,2.915201082725338,0.25,p117,L2,0.11060497704757886
0,3.0106180586550755,0.25,p117,L2,0.11060497704757886
1,2.7979353355250294,0.3,p117,L2,0.11060497704757886
0,2.828541491165996,0.3,p117,L2,0.11060497704757886
1,3.3692286527039474,0.1,p118,biling,0.11343199118589145
0,3.621488642221421,0.1,p118,biling,0.11343199118589145
1,3.0291012404108435,0.15,p118,biling,0.11343199118589145
0,3.4055250486951545,0.15,p118,biling,0.11343199118589145
1,2.92938327151862,0.2,p118,biling,0.11343199118589145
0,3.2534947690959246,0.2,p118,biling,0.11343199118589145
1,2.858556038286394,0.25,p118,biling,0.11343199118589145
0,3.0197287305961265,0.25,p118,biling,0.11343199118589145
1,2.722284350736679,0.3,p118,biling,0.11343199118589145
0,2.8483893056035066,0.3,p118,biling,0.11343199118589145
1,3.138749379419719,0.1,p119,biling,0.1418962251073405
0,3.587812957676862,0.1,p119,biling,0.1418962251073405
1,2.814764158931094,0.15,p119,biling,0.1418962251073405
0,3.3012316803160866,0.15,p119,biling,0.1418962251073405
1,2.669709247590225,0.2,p119,biling,0.1418962251073405
0,3.1632169749465993,0.2,p119,biling,0.1418962251073405
1,2.5694565489996277,0.25,p119,biling,0.1418962251073405
0,3.0209626585575706,0.25,p119,biling,0.1418962251073405
1,2.3439570105164185,0.3,p119,biling,0.1418962251073405
0,2.896876826372088,0.3,p119,biling,0.1418962251073405
1,4.586472861505129,0.1,p120,biling,0.1406212424849406
0,3.7929893322699626,0.1,p120,biling,0.1406212424849406
1,4.37589983960322,0.15,p120,biling,0.1406212424849406
0,3.358356676792715,0.15,p120,biling,0.1406212424849406
1,4.230690177705281,0.2,p120,biling,0.1406212424849406
0,3.1151179857393823,0.2,p120,biling,0.1406212424849406
1,3.989894996068776,0.25,p120,biling,0.1406212424849406
0,2.8008782502763254,0.25,p120,biling,0.1406212424849406
1,3.7681245121229967,0.3,p120,biling,0.1406212424849406
0,2.5214768600341384,0.3,p120,biling,0.1406212424849406
1,4.0047144605979454,0.1,p121,L2,0.15394850879422325
0,3.7805269330274416,0.1,p121,L2,0.15394850879422325
1,3.8233900919586947,0.15,p121,L2,0.15394850879422325
0,3.5120907958079153,0.15,p121,L2,0.15394850879422325
1,3.6817900826431815,0.2,p121,L2,0.15394850879422325
0,3.357853408082841,0.2,p121,L2,0.15394850879422325
1,3.2666274504880777,0.25,p121,L2,0.15394850879422325
0,3.1603670381604347,0.25,p121,L2,0.15394850879422325
1,3.1470784556585625,0.3,p121,L2,0.15394850879422325
0,3.017553549410323,0.3,p121,L2,0.15394850879422325
1,4.255101020495827,0.1,p122,biling,0.1222096985582836
0,4.020101874082303,0.1,p122,biling,0.1222096985582836
1,4.119061637989205,0.15,p122,biling,0.1222096985582836
0,3.7107727237041854,0.15,p122,biling,0.1222096985582836
