is_stress,Area,Cutoff,Participant,Dom,avg_dur,Dominance
1,3.30268097,0.1,p111,L2,0.120470255,127.138
0,3.539401398,0.1,p111,L2,0.120470255,127.138
1,3.032504148,0.15,p111,L2,0.120470255,127.138
0,3.023458508,0.15,p111,L2,0.120470255,127.138
1,2.816748185,0.2,p111,L2,0.120470255,127.138
0,2.852190057,0.2,p111,L2,0.120470255,127.138
1,2.552443318,0.25,p111,L2,0.120470255,127.138
0,2.712853253,0.25,p111,L2,0.120470255,127.138
1,2.394427732,0.3,p111,L2,0.120470255,127.138
0,2.589946754,0.3,p111,L2,0.120470255,127.138
1,3.322740236,0.1,p113,biling,0.136584927,-1.816
0,2.802344722,0.1,p113,biling,0.136584927,-1.816
1,2.875612851,0.15,p113,biling,0.136584927,-1.816
0,2.390190563,0.15,p113,biling,0.136584927,-1.816
1,2.706307699,0.2,p113,biling,0.136584927,-1.816
0,2.226064731,0.2,p113,biling,0.136584927,-1.816
1,2.630129459,0.25,p113,biling,0.136584927,-1.816
0,2.105402997,0.25,p113,biling,0.136584927,-1.816
1,2.535291372,0.3,p113,biling,0.136584927,-1.816
0,2.000075545,0.3,p113,biling,0.136584927,-1.816
1,3.127568586,0.1,p114,biling,0.158571031,49.224
0,3.27891058,0.1,p114,biling,0.158571031,49.224
1,2.976108584,0.15,p114,biling,0.158571031,49.224
0,3.04287183,0.15,p114,biling,0.158571031,49.224
1,2.843556512,0.2,p114,biling,0.158571031,49.224
0,2.887325232,0.2,p114,biling,0.158571031,49.224
1,2.666707565,0.25,p114,biling,0.158571031,49.224
0,2.366028022,0.25,p114,biling,0.158571031,49.224
1,2.557575325,0.3,p114,biling,0.158571031,49.224
0,2.193480693,0.3,p114,biling,0.158571031,49.224
1,3.381090485,0.1,p117,L2,0.110604977,97.352
0,4.063463055,0.1,p117,L2,0.110604977,97.352
1,3.238070448,0.15,p117,L2,0.110604977,97.352
0,3.565078225,0.15,p117,L2,0.110604977,97.352
1,3.028032393,0.2,p117,L2,0.110604977,97.352
0,3.259071484,0.2,p117,L2,0.110604977,97.352
1,2.915201083,0.25,p117,L2,0.110604977,97.352
0,3.010618059,0.25,p117,L2,0.110604977,97.352
1,2.797935336,0.3,p117,L2,0.110604977,97.352
0,2.828541491,0.3,p117,L2,0.110604977,97.352
1,3.369228653,0.1,p118,biling,0.113431991,37.87
0,3.621488642,0.1,p118,biling,0.113431991,37.87
1,3.02910124,0.15,p118,biling,0.113431991,37.87
0,3.405525049,0.15,p118,biling,0.113431991,37.87
1,2.929383272,0.2,p118,biling,0.113431991,37.87
0,3.253494769,0.2,p118,biling,0.113431991,37.87
1,2.858556038,0.25,p118,biling,0.113431991,37.87
0,3.019728731,0.25,p118,biling,0.113431991,37.87
1,2.722284351,0.3,p118,biling,0.113431991,37.87
0,2.848389306,0.3,p118,biling,0.113431991,37.87
1,3.138749379,0.1,p119,biling,0.141896225,74.292
0,3.587812958,0.1,p119,biling,0.141896225,74.292
1,2.814764159,0.15,p119,biling,0.141896225,74.292
0,3.30123168,0.15,p119,biling,0.141896225,74.292
1,2.669709248,0.2,p119,biling,0.141896225,74.292
0,3.163216975,0.2,p119,biling,0.141896225,74.292
1,2.569456549,0.25,p119,biling,0.141896225,74.292
0,3.020962659,0.25,p119,biling,0.141896225,74.292
1,2.343957011,0.3,p119,biling,0.141896225,74.292
0,2.896876826,0.3,p119,biling,0.141896225,74.292
1,4.586472862,0.1,p120,biling,0.140621242,20.07
0,3.792989332,0.1,p120,biling,0.140621242,20.07
1,4.37589984,0.15,p120,biling,0.140621242,20.07
0,3.358356677,0.15,p120,biling,0.140621242,20.07
1,4.230690178,0.2,p120,biling,0.140621242,20.07
0,3.115117986,0.2,p120,biling,0.140621242,20.07
1,3.989894996,0.25,p120,biling,0.140621242,20.07
0,2.80087825,0.25,p120,biling,0.140621242,20.07
1,3.768124512,0.3,p120,biling,0.140621242,20.07
0,2.52147686,0.3,p120,biling,0.140621242,20.07
1,4.004714461,0.1,p121,L2,0.153948509,131.406
0,3.780526933,0.1,p121,L2,0.153948509,131.406
1,3.823390092,0.15,p121,L2,0.153948509,131.406
0,3.512090796,0.15,p121,L2,0.153948509,131.406
1,3.681790083,0.2,p121,L2,0.153948509,131.406
0,3.357853408,0.2,p121,L2,0.153948509,131.406
1,3.26662745,0.25,p121,L2,0.153948509,131.406
0,3.160367038,0.25,p121,L2,0.153948509,131.406
1,3.147078456,0.3,p121,L2,0.153948509,131.406
0,3.017553549,0.3,p121,L2,0.153948509,131.406
1,4.25510102,0.1,p122,biling,0.122209699,48.124
0,4.020101874,0.1,p122,biling,0.122209699,48.124
1,4.119061638,0.15,p122,biling,0.122209699,48.124
0,3.710772724,0.15,p122,biling,0.122209699,48.124
1,3.974124172,0.2,p122,biling,0.122209699,48.124
0,3.288245974,0.2,p122,biling,0.122209699,48.124
1,3.838042469,0.25,p122,biling,0.122209699,48.124
0,2.991202238,0.25,p122,biling,0.122209699,48.124
1,3.68872167,0.3,p122,biling,0.122209699,48.124
0,2.897249615,0.3,p122,biling,0.122209699,48.124
1,2.861615098,0.1,p123,L2,0.131626479,72.288
0,2.742775356,0.1,p123,L2,0.131626479,72.288
1,2.622370595,0.15,p123,L2,0.131626479,72.288
0,2.452798681,0.15,p123,L2,0.131626479,72.288
1,2.365488176,0.2,p123,L2,0.131626479,72.288
0,2.216823587,0.2,p123,L2,0.131626479,72.288
1,2.240118189,0.25,p123,L2,0.131626479,72.288
0,1.980087196,0.25,p123,L2,0.131626479,72.288
1,2.154127442,0.3,p123,L2,0.131626479,72.288
0,1.817393489,0.3,p123,L2,0.131626479,72.288
1,2.855648506,0.1,p124,biling,0.112745992,113.332
0,3.388554623,0.1,p124,biling,0.112745992,113.332
1,2.563636182,0.15,p124,biling,0.112745992,113.332
0,3.006954161,0.15,p124,biling,0.112745992,113.332
1,1.923680937,0.2,p124,biling,0.112745992,113.332
0,2.218651747,0.2,p124,biling,0.112745992,113.332
1,1.615928321,0.25,p124,biling,0.112745992,113.332
0,1.95571077,0.25,p124,biling,0.112745992,113.332
1,1.236481947,0.3,p124,biling,0.112745992,113.332
0,1.741448089,0.3,p124,biling,0.112745992,113.332
1,2.828638657,0.1,p126,L2,0.165465229,80.648
0,2.322597754,0.1,p126,L2,0.165465229,80.648
1,2.572949368,0.15,p126,L2,0.165465229,80.648
0,1.968991641,0.15,p126,L2,0.165465229,80.648
1,2.303350438,0.2,p126,L2,0.165465229,80.648
0,1.651746098,0.2,p126,L2,0.165465229,80.648
1,1.953156038,0.25,p126,L2,0.165465229,80.648
0,1.52228437,0.25,p126,L2,0.165465229,80.648
1,1.823478264,0.3,p126,L2,0.165465229,80.648
0,1.401391043,0.3,p126,L2,0.165465229,80.648
1,3.141754319,0.1,s001,mono,0.090275326,-168
0,3.147631411,0.1,s001,mono,0.090275326,-168
1,2.871324108,0.15,s001,mono,0.090275326,-168
0,2.954693656,0.15,s001,mono,0.090275326,-168
1,2.590894561,0.2,s001,mono,0.090275326,-168
